Id,X,Y,GapAngle_deg
15,9322.717978,9953.310953,90.00
15,5933.843806,1756.332286,90.00
15,10158.750572,4616.076540,180.00
15,5926.736045,12492.590716,0.00
15,8595.699332,4000.628681,0.00
11,6087.773675,15761.945860,90.00
9,-5410.622883,5797.647633,180.00
15,15659.961547,5007.575915,270.00
13,2884.726096,10346.629841,90.00
7,6662.230293,9179.388409,180.00
13,-1164.981231,5756.523942,270.00
11,9738.229926,830.453200,90.00
9,1990.312815,4899.385968,180.00
11,16791.696524,7432.546159,270.00
11,5281.363567,-393.951231,0.00
7,10149.562670,7921.159703,180.00
15,5348.735618,-4198.919034,180.00
11,8644.303720,7802.688681,0.00
9,2343.413800,7825.614795,270.00
11,12976.714377,6017.824030,180.00
1,-4258.922697,6934.540239,90.00
11,5971.965697,3495.074923,270.00
9,2130.910978,2691.100192,270.00
7,5259.863277,17268.203375,90.00
11,7462.740562,13608.324839,180.00
13,-1458.872036,7263.285012,270.00
15,6785.722831,-895.704215,0.00
11,6924.289071,-4697.746513,0.00
1,-3969.619434,4659.360942,90.00
1,1836.840724,8984.115726,180.00
3,7110.513016,17262.945647,270.00
9,2130.075381,1186.328318,90.00
5,3495.985595,5675.126804,180.00
9,4006.618854,8840.753197,90.00
7,14598.621784,6784.391614,180.00
3,11322.678915,6160.249641,90.00
3,11183.449812,5005.731986,0.00
1,3494.908292,3854.316233,180.00
15,9505.606250,11455.834223,270.00
3,4707.934202,12196.976226,270.00
10,5746.862392,18771.219825,90.00
2,18547.423322,5277.695853,270.00
5,-6913.705863,6412.206183,0.00
7,6783.875240,-6849.486373,270.00
3,19450.550249,6437.356487,180.00
