Id,X,Y,Rotation,GapAngle_deg,GapFace
15,9322.717978,9953.310953,0.000000,90.00,N
15,5933.843806,1756.332286,0.000000,90.00,N
15,10158.750572,4616.076540,1.570796,180.00,W
15,5926.736045,12492.590716,4.712389,0.00,E
15,8595.699332,4000.628681,4.712389,0.00,E
11,6087.773675,15761.945860,0.000000,90.00,N
9,-5410.622883,5797.647633,1.570796,180.00,W
15,15659.961547,5007.575915,3.141593,270.00,S
13,2884.726096,10346.629841,0.000000,90.00,N
7,6662.230293,9179.388409,1.570796,180.00,W
13,-1164.981231,5756.523942,3.141593,270.00,S
11,9738.229926,830.453200,0.000000,90.00,N
9,1990.312815,4899.385968,1.570796,180.00,W
11,16791.696524,7432.546159,3.141593,270.00,S
11,5281.363567,-393.951231,4.712389,0.00,E
7,10149.562670,7921.159703,1.570796,180.00,W
15,5348.735618,-4198.919034,1.570796,180.00,W
11,8644.303720,7802.688681,4.712389,0.00,E
9,2343.413800,7825.614795,3.141593,270.00,S
11,12976.714377,6017.824030,1.570796,180.00,W
1,-4258.922697,6934.540239,0.000000,90.00,N
11,5971.965697,3495.074923,3.141593,270.00,S
9,2130.910978,2691.100192,3.141593,270.00,S
7,5259.863277,17268.203375,0.000000,90.00,N
11,7462.740562,13608.324839,1.570796,180.00,W
13,-1458.872036,7263.285012,3.141593,270.00,S
15,6785.722831,-895.704215,4.712389,0.00,E
11,6924.289071,-4697.746513,4.712389,0.00,E
1,-3969.619434,4659.360942,0.000000,90.00,N
1,1836.840724,8984.115726,1.570796,180.00,W
3,7110.513016,17262.945647,3.141593,270.00,S
9,2130.075381,1186.328318,0.000000,90.00,N
5,3495.985595,5675.126804,1.570796,180.00,W
9,4006.618854,8840.753197,0.000000,90.00,N
7,14598.621784,6784.391614,1.570796,180.00,W
3,11322.678915,6160.249641,0.000000,90.00,N
3,11183.449812,5005.731986,4.712389,0.00,E
1,3494.908292,3854.316233,1.570796,180.00,W
15,9505.606250,11455.834223,3.141593,270.00,S
3,4707.934202,12196.976226,3.141593,270.00,S
10,5746.862392,18771.219825,0.000000,90.00,N
2,18547.423322,5277.695853,3.141593,270.00,S
5,-6913.705863,6412.206183,4.712389,0.00,E
7,6783.875240,-6849.486373,3.141593,270.00,S
3,19450.550249,6437.356487,1.570796,180.00,W
